"","customer_id","loan_request_id","principle_amount_paid","penalty_paid","bank_electronic_repayments_id","bank_electonic_payment_id","amount","credit_date"
"1",144,199,15000,0,140,140,15000,"2016-05-04 00:00:00"
"2",144,417,15000,510,537,537,15510,"2016-06-02 00:00:00"
"3",144,1039,15000,510,1051,1051,15510,"2016-06-30 00:00:00"
"4",144,1658,3490,510,2753,2753,4000,"2016-08-31 00:00:00"
"5",150,66,5000,0,29,29,5000,"2016-04-02 00:00:00"
"6",150,158,5000,0,59,59,5000,"2016-04-19 00:00:00"
"7",150,218,5000,0,124,124,5000,"2016-05-02 00:00:00"
"8",150,268,5000,0,136,136,5000,"2016-05-03 00:00:00"
"9",150,408,5000,0,273,273,5000,"2016-05-17 00:00:00"
"10",150,626,10000,0,444,444,10000,"2016-05-31 00:00:00"
"11",150,1338,10000,0,1068,1068,15000,"2016-06-30 00:00:00"
"12",150,1405,5000,0,1068,1068,15000,"2016-06-30 00:00:00"
"13",150,2312,5000,0,1881,1881,5000,"2016-08-01 00:00:00"
"14",150,2785,5000,175,2574,2574,5175,"2016-08-31 00:00:00"
"15",150,3754,5000,0,3288,3288,5000,"2016-09-20 00:00:00"
"16",150,3910,5000,0,3418,3418,5000,"2016-09-26 00:00:00"
"17",150,4439,5000,0,3950,3950,5000,"2016-10-03 00:00:00"
"18",150,4655,5000,0,4236,4236,5000,"2016-10-06 00:00:00"
"19",150,4892,5000,275,5568,5568,15600,"2016-10-31 00:00:00"
"20",150,5549,5000,175,5568,5568,15600,"2016-10-31 00:00:00"
"21",150,5648,4975,175,5568,5568,15600,"2016-10-31 00:00:00"
"22",150,5648,25,0,5853,5853,26,"2016-11-02 00:00:00"
"23",150,7692,5000,0,6490,6490,15000,"2016-11-11 00:00:00"
"24",150,7779,10000,0,6490,6490,15000,"2016-11-11 00:00:00"
"25",150,9494,8333,0,9558,9558,8333,"2016-12-21 00:00:00"
"26",150,9494,8333,0,12607,12607,8333,"2017-01-20 00:00:00"
"27",150,9494,8334,0,15733,15733,8334,"2017-02-09 00:00:00"
"28",150,18611,35000,700,24451,24451,35700,"2017-03-31 00:00:00"
"29",150,27181,13333,0,35758,35758,13333,"2017-05-10 00:00:00"
"30",150,27181,13337,533,45568,45568,13870,"2017-06-12 00:00:00"
"31",150,27181,13330,0,46201,46201,13330,"2017-06-13 00:00:00"
"32",150,43125,40000,0,57010,57010,40000,"2017-07-11 00:00:00"
"33",150,57579,40000,0,86142,86142,40000,"2017-09-04 00:00:00"
"34",150,65711,7046,0,103129,103129,7046,"2017-10-06 00:00:00"
"35",150,65711,7046,0,119357,119357,7046,"2017-11-04 00:00:00"
"36",150,65711,28188,0,141712,141712,28200,"2017-12-08 00:00:00"
"37",150,97964,8872,1128,212312,212312,10000,"2018-03-03 00:00:00"
"38",150,97964,14092,772,223330,223330,14864,"2018-03-14 00:00:00"
"39",185,37,5000,0,19,19,5000,"2016-03-22 00:00:00"
"40",185,65,4915,85,44,44,5000,"2016-04-12 00:00:00"
"41",185,65,85,0,48,48,85,"2016-04-12 00:00:00"
"42",185,196,5000,85,158,158,5085,"2016-05-07 00:00:00"
"43",185,1580,5000,0,1406,1406,5000,"2016-07-12 00:00:00"
"44",185,2473,5000,175,2239,2239,5175,"2016-08-17 00:00:00"
"45",185,7775,5000,0,6918,6918,5000,"2016-11-18 00:00:00"
"46",185,9497,5000,0,10010,10010,5000,"2016-12-28 00:00:00"
"47",185,12649,5000,0,14536,14536,5000,"2017-02-02 00:00:00"
"48",185,17212,5000,0,20600,20600,5000,"2017-03-09 00:00:00"
