"","customer_id","monthly_customer_income"
"1",144,32000
"2",150,40000
"3",155,38000
"4",162,45000
"5",163,33000
"6",185,20000
"7",194,20000
"8",199,44000
"9",203,26715
"10",207,25000
"11",209,30154
"12",211,27000
"13",219,50000
"14",222,45000
"15",234,9999999
"16",235,NA
"17",236,22648
"18",244,29300
"19",247,25000
"20",248,NA
"21",254,160000
"22",266,60000
"23",270,44000
"24",279,1e+05
"25",281,68500
"26",282,180000
"27",284,40000
"28",286,44451
"29",287,55000
"30",290,40730
"31",299,60000
"32",301,42603
"33",302,44783
"34",303,68878
"35",304,20099
"36",306,1e+05
"37",310,34500
"38",314,NA
"39",316,77000
"40",319,24165
"41",320,85449
"42",341,41257
"43",350,47000
"44",351,25000
"45",356,65000
"46",365,51000
"47",367,58112
"48",369,25000
"49",372,47000
"50",375,48863
"51",382,NA
"52",385,31500
"53",386,63000
"54",391,61125
"55",411,85000
"56",417,NA
"57",421,88000
"58",424,52589
"59",425,NA
"60",436,17349
"61",440,65000
"62",442,53000
"63",451,5e+05
"64",452,25500
"65",464,19000
"66",466,40000
"67",469,NA
"68",470,59997
"69",487,58000
"70",491,1e+05
"71",493,30000
"72",494,NA
"73",497,31800
"74",507,32783
"75",529,250000
"76",552,45000
"77",563,NA
"78",576,60000
"79",604,45000
"80",646,20755
"81",664,25000
"82",683,28000
"83",684,39500
"84",716,40000
"85",750,30000
"86",756,51618
"87",761,40000
"88",764,93000
"89",775,29950
"90",781,31000
"91",794,38000
"92",803,27000
"93",806,27000
"94",845,25000
"95",847,38200
"96",858,30000
"97",862,22000
"98",870,40000
"99",916,77825
"100",950,44240
"101",964,27500
"102",973,66000
"103",990,25735
"104",1029,19400
"105",1047,20000
"106",1076,36370
"107",1078,58000
"108",1086,29000
"109",1090,47169
"110",1095,38470
"111",1099,33000
"112",1103,58500
"113",1104,25000
"114",1130,23000
"115",1142,30480
"116",1146,28496
"117",1154,19600
"118",1155,37000
"119",1158,45000
"120",1165,24500
"121",1168,15000
"122",1169,35000
"123",1172,28030
"124",1177,30000
"125",1184,26324
"126",1188,30621
"127",1192,17067
"128",1198,188500
"129",1200,16000
"130",1229,37500
"131",1237,40000
"132",1243,29000
"133",1246,20000
"134",1254,44200
"135",1263,35000
"136",1273,21000
"137",1275,27000
"138",1277,16103
"139",1278,29950
"140",1306,26000
"141",1364,82269
"142",1365,25000
"143",1381,15000
"144",1383,30900
"145",1394,15000
"146",1395,25402
"147",1404,50000
"148",1418,15257
"149",1425,24000
"150",1437,15300
"151",1440,15000
"152",1453,40000
"153",1456,32500
"154",1457,17000
"155",1467,58000
"156",1468,53000
"157",1483,30000
"158",1494,20000
"159",1497,23400
"160",1504,50000
"161",1513,25000
"162",1523,25000
"163",1527,1e+05
"164",1528,30000
"165",1545,30000
"166",1546,50000
"167",1555,16400
"168",1572,24000
"169",1582,15000
"170",1583,18500
"171",1593,37500
"172",1599,26976
"173",1619,62321
"174",1625,NA
"175",1628,16288
"176",1630,77000
"177",1639,20000
"178",1644,17800
"179",1649,22000
"180",1658,63002
"181",1660,NA
"182",1664,56000
"183",1673,35080
"184",1683,24509
"185",1690,19000
"186",1695,17500
"187",1703,30000
"188",1704,66800
"189",1706,36000
"190",1716,43000
"191",1720,NA
"192",1727,17500
"193",1729,60000
"194",1732,38500
"195",1734,37950
"196",1737,36744
"197",1740,28764
"198",1754,37000
"199",1761,15000
"200",1784,18000
"201",1786,20000
"202",1789,NA
"203",1790,45263
"204",1792,32000
"205",1796,45000
"206",1799,23700
"207",1807,17000
"208",1817,41000
"209",1819,53756
"210",1821,26000
"211",1822,28600
"212",1834,29500
"213",1838,19192
"214",1839,36000
"215",1843,20000
"216",1846,18710
"217",1857,19236
"218",1858,22000
"219",1861,58000
"220",1863,40000
"221",1868,41617
"222",1871,30000
"223",1872,66000
"224",1873,23000
"225",1874,54427
"226",1875,15000
"227",1876,45405
"228",1882,45000
"229",1886,67000
"230",1896,40000
"231",1952,21000
"232",1957,17000
"233",1978,44000
"234",1982,22260
"235",1985,18000
"236",2012,120000
"237",2014,91833
"238",2047,NA
"239",2052,20000
"240",2086,35800
"241",2088,20300
"242",2104,20700
"243",2134,NA
"244",2146,30000
"245",2149,50000
"246",2152,23714
"247",2154,NA
"248",2159,35646
"249",2173,15500
"250",2188,52219
"251",2205,15000
"252",2229,17300
"253",2237,15000
"254",2245,NA
"255",2283,43850
"256",2294,24750
"257",2296,52000
"258",2313,40000
"259",2317,23000
"260",2319,40000
"261",2330,58300
"262",2364,80000
"263",2463,17000
"264",2489,118556
"265",2490,NA
"266",2495,50744
"267",2498,35000
"268",2535,29375
"269",2567,78000
"270",2578,24700
"271",2581,32000
"272",2583,20000
"273",2593,45467
"274",2600,30000
"275",2622,91411
"276",2654,67500
"277",2684,19500
"278",2687,31000
"279",2696,83000
"280",2709,63000
"281",2719,49000
"282",2721,16500
"283",2723,25686
"284",2751,24500
"285",2761,26500
"286",2784,27363
"287",2808,17300
"288",2817,15000
"289",2822,26762
"290",2823,38500
"291",2872,89779
"292",2923,27800
"293",2939,50000
"294",2965,NA
"295",2975,42000
"296",2985,25000
"297",2999,34831
"298",3002,18960
"299",3003,43000
"300",3044,25000
"301",3055,1e+05
"302",3077,33000
"303",3082,26000
"304",3106,33000
"305",3109,28800
"306",3112,20000
"307",3118,NA
"308",3155,24756
"309",3185,42000
"310",3199,18000
"311",3200,35000
"312",3238,40000
"313",3248,15870
"314",3303,53000
"315",3313,48000
"316",3322,53000
"317",3326,25000
"318",3335,18000
"319",3361,29446
"320",3393,15000
